"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"303","2.72575124","0.01408593","0.36687134","0.01106195","113","5","false","PRKCA","20.0619469","113","0","0","0.7842811","false","0","PRKCA","5967228","0.01415158"
"305","3.159186","2.1183E-4","0.31653723","0.1","5","6","false","PSEN1","146.0","5","0","0","0.73010175","false","0","PSEN1","86912","0.22164634"
"307","2.71586154","0.00193659","0.36820728","0.13492063","28","6","false","CEBPB","127.5","28","0","0","0.78551731","false","0","CEBPB","1323106","0.05736808"
"309","3.12552301","6.104E-5","0.31994645","0.66666667","3","6","false","AXIN1","364.33333333","3","0","0","0.73430962","false","0","AXIN1","72568","0.3585958"
"311","2.9218334","5.5959E-4","0.34225086","0.27272727","11","6","false","XIAP","167.81818182","11","0","0","0.75977083","false","0","XIAP","358342","0.1209281"
"313","3.41993153","1.651E-5","0.29240351","0.33333333","3","6","false","GIPC1","123.33333333","3","0","0","0.69750856","false","0","GIPC1","3524","0.34943182"
"315","3.0405097","8.731E-5","0.32889222","0.46666667","6","6","false","SMAD1","203.33333333","6","0","0","0.74493629","false","0","SMAD1","80664","0.20663957"
"317","2.79003423","0.00120602","0.35841854","0.2","16","6","false","PIK3R1","167.625","16","0","0","0.77624572","false","0","PIK3R1","638804","0.09193194"
"319","2.52567516","0.00294539","0.39593373","0.25132275","28","5","false","AR","181.57142857","28","0","0","0.8092906","false","0","AR","2464720","0.06498389"
"321","3.14016736","6.389E-5","0.31845436","0.0","4","6","false","SNAI2","134.5","4","0","0","0.73247908","false","0","SNAI2","36994","0.26915323"
"323","2.99448459","1.3623E-4","0.33394728","0.27777778","9","6","false","TSC2","139.55555556","9","0","0","0.75068943","false","0","TSC2","113282","0.14752173"
"326","3.12837581","4.619E-5","0.31965469","0.4","5","6","false","EIF4EBP1","151.8","5","0","0","0.73395302","false","0","EIF4EBP1","35670","0.23180428"
"328","2.64929631","0.01397399","0.37745872","0.02205731","99","6","false","MTOR","29.39393939","99","0","0","0.79383796","false","0","MTOR","5534038","0.01602075"
"330","3.15424116","5.891E-5","0.31703346","0.4","5","6","false","TSC1","160.2","5","0","0","0.73071986","false","0","TSC1","43906","0.23524229"
"332","3.25656143","3.84E-6","0.30707236","0.66666667","3","6","false","PRKAR1A","140.0","3","0","0","0.71792982","false","0","PRKAR1A","2224","0.3562341"
"334","3.40909091","1.358E-5","0.29333333","0.33333333","3","6","false","ADAP1","136.66666667","3","0","0","0.69886364","false","0","ADAP1","7916","0.35689354"
"336","3.28109547","4.732E-5","0.30477626","0.0","3","6","false","PRKAR2A","156.0","3","0","0","0.71486307","false","0","PRKAR2A","33302","0.36214953"
"339","2.68124762","0.00328022","0.3729607","0.04811508","64","6","false","TOP2A","46.359375","64","0","0","0.78984405","false","0","TOP2A","1569728","0.02670932"
"341","3.44941042","2.264E-5","0.28990461","0.0","2","6","false","PRUNE","144.5","2","0","0","0.6938237","false","0","PRUNE","7766","0.50706714"
"343","2.97109167","3.1081E-4","0.33657662","0.22222222","10","6","false","DDX5","159.4","10","0","0","0.75361354","false","0","DDX5","226704","0.13181442"
"345","2.99619627","2.6383E-4","0.33375651","0.0","3","6","false","EPB41L3","412.0","3","0","0","0.75047547","false","0","EPB41L3","328324","0.35248714"
"347","3.24343857","2.14E-6","0.30831476","0.66666667","3","6","false","PHLPP1","181.33333333","3","0","0","0.71957018","false","0","PHLPP1","2682","0.38175439"
"349","3.00817801","4.4265E-4","0.33242714","0.13333333","6","6","false","KHSRP","224.5","6","0","0","0.74897775","false","0","KHSRP","380560","0.19047619"
"352","2.8771396","3.0037E-4","0.34756742","0.33333333","9","5","false","SNCA","243.77777778","9","0","0","0.76535755","false","0","SNCA","355242","0.15296087"
"354","2.73868391","8.8726E-4","0.36513889","0.1503268","18","6","false","CREB1","163.11111111","18","0","0","0.78266451","false","0","CREB1","653064","0.08323397"
"356","2.47774819","0.00435159","0.40359226","0.15630252","35","5","false","JUN","160.14285714","35","0","0","0.81528148","false","0","JUN","3418648","0.05201727"
"358","2.99182199","2.4707E-4","0.33424449","0.16666667","4","6","false","CEBPZ","410.25","4","0","0","0.75102225","false","0","CEBPZ","474968","0.28875969"
"360","2.98839863","3.2442E-4","0.33462738","0.36111111","9","6","false","PTPN1","166.55555556","9","0","0","0.75145017","false","0","PTPN1","187782","0.14778665"
"362","2.93134272","1.2099E-4","0.3411406","0.6","6","6","false","CIITA","317.66666667","6","0","0","0.75858216","false","0","CIITA","168714","0.21191906"
"364","2.67383035","0.0253684","0.37399531","0.00859423","181","6","false","NOTCH1","17.09944751","181","0","0","0.79077121","false","0","NOTCH1","15884844","0.01099071"
